timestamp_secs,stage,num_chunks,vm_rss_kb,vm_rss_mb
1787970861,before_insert,1000,5780,5.64
1787970870,after_insert,1000,27028,26.39
1787970886,after_search,1000,45076,44.02
1787970886,before_insert,10000,45076,44.02
1787971017,after_insert,10000,195460,190.88
1787971032,after_search,10000,198276,193.63
1787971032,before_insert,100000,198276,193.63
1787971202,before_insert,1000,5780,5.64
1787971211,after_insert,1000,26772,26.14
1787971229,after_search,1000,45844,44.77
1787971229,before_insert,5000,45844,44.77
1787971284,after_insert,5000,124052,121.14
1787971300,after_search,5000,136984,133.77
1787971301,before_insert,10000,136984,133.77
1787971434,after_insert,10000,212104,207.13
1787971448,after_search,10000,213896,208.88
